,name,x,y,z,idx
0,Frontal Pole L,42.0,94.0,35.0,10
1,Frontal Pole R,48.0,94.0,35.0,11
2,Insular Cortex L,25.0,70.0,32.0,20
3,Insular Cortex R,65.0,70.0,32.0,21
4,Superior Frontal Gyrus L,33.0,73.0,63.0,30
5,Superior Frontal Gyrus R,57.0,73.0,63.0,31
6,Middle Frontal Gyrus L,25.0,72.0,55.0,40
7,Middle Frontal Gyrus R,65.0,72.0,55.0,41
8,"Inferior Frontal Gyrus, pars triangularis L",20.0,77.0,40.0,50
9,"Inferior Frontal Gyrus, pars triangularis R",70.0,77.0,40.0,51
10,"Inferior Frontal Gyrus, pars opercularis L",20.0,71.0,47.0,60
11,"Inferior Frontal Gyrus, pars opercularis R",70.0,71.0,47.0,61
12,Precentral Gyrus L,44.0,51.0,68.0,70
13,Precentral Gyrus R,46.0,51.0,68.0,71
14,Temporal Pole L,29.0,69.0,17.0,80
15,Temporal Pole R,61.0,69.0,17.0,81
16,"Superior Temporal Gyrus, anterior division L",17.0,59.0,32.0,90
17,"Superior Temporal Gyrus, anterior division R",73.0,59.0,32.0,91
18,"Superior Temporal Gyrus, posterior division L",15.0,52.0,35.0,100
19,"Superior Temporal Gyrus, posterior division R",75.0,52.0,35.0,101
20,"Middle Temporal Gyrus, anterior division L",16.0,59.0,26.0,110
21,"Middle Temporal Gyrus, anterior division R",74.0,59.0,26.0,111
22,"Middle Temporal Gyrus, posterior division L",14.0,51.0,30.0,120
23,"Middle Temporal Gyrus, posterior division R",76.0,51.0,30.0,121
24,"Middle Temporal Gyrus, temporooccipital part L",18.0,35.0,38.0,130
25,"Middle Temporal Gyrus, temporooccipital part R",72.0,35.0,38.0,131
26,"Inferior Temporal Gyrus, anterior division L",22.0,61.0,16.0,140
27,"Inferior Temporal Gyrus, anterior division R",68.0,61.0,16.0,141
28,"Inferior Temporal Gyrus, posterior division L",20.0,42.0,26.0,150
29,"Inferior Temporal Gyrus, posterior division R",70.0,42.0,26.0,151
30,"Inferior Temporal Gyrus, temporooccipital part L",20.0,35.0,29.0,160
31,"Inferior Temporal Gyrus, temporooccipital part R",70.0,35.0,29.0,161
32,Postcentral Gyrus L,38.0,42.0,69.0,170
33,Postcentral Gyrus R,52.0,42.0,69.0,171
34,Superior Parietal Lobule L,28.0,39.0,63.0,180
35,Superior Parietal Lobule R,62.0,39.0,63.0,181
36,"Supramarginal Gyrus, anterior division L",17.0,48.0,53.0,190
37,"Supramarginal Gyrus, anterior division R",73.0,48.0,53.0,191
38,"Supramarginal Gyrus, posterior division L",18.0,39.0,51.0,200
39,"Supramarginal Gyrus, posterior division R",72.0,39.0,51.0,201
40,Angular Gyrus L,21.0,37.0,55.0,210
41,Angular Gyrus R,69.0,37.0,55.0,211
42,"Lateral Occipital Cortex, superior division L",30.0,28.0,57.0,220
43,"Lateral Occipital Cortex, superior division R",60.0,28.0,57.0,221
44,"Lateral Occipital Cortex, inferior division L",22.0,28.0,38.0,230
45,"Lateral Occipital Cortex, inferior division R",68.0,28.0,38.0,231
46,Intracalcarine Cortex L,43.0,23.0,40.0,240
47,Intracalcarine Cortex R,47.0,23.0,40.0,241
48,Frontal Medial Cortex L,45.0,84.0,27.0,250
49,Frontal Medial Cortex R,45.0,84.0,27.0,251
50,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) L,45.0,63.0,63.0,260
51,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) R,45.0,63.0,63.0,261
52,Subcallosal Cortex L,44.0,74.0,27.0,270
53,Subcallosal Cortex R,46.0,74.0,27.0,271
54,Paracingulate Gyrus L,45.0,80.0,52.0,280
55,Paracingulate Gyrus R,45.0,80.0,52.0,281
56,"Cingulate Gyrus, anterior division L",45.0,61.0,57.0,290
57,"Cingulate Gyrus, anterior division R",45.0,61.0,57.0,291
58,"Cingulate Gyrus, posterior division L",44.0,42.0,54.0,300
59,"Cingulate Gyrus, posterior division R",46.0,42.0,54.0,301
60,Precuneous Cortex L,45.0,31.0,55.0,310
61,Precuneous Cortex R,45.0,31.0,55.0,311
62,Cuneal Cortex L,45.0,23.0,49.0,320
63,Cuneal Cortex R,45.0,23.0,49.0,321
64,Frontal Orbital Cortex L,25.0,77.0,29.0,330
65,Frontal Orbital Cortex R,65.0,77.0,29.0,331
66,"Parahippocampal Gyrus, anterior division L",33.0,62.0,18.0,340
67,"Parahippocampal Gyrus, anterior division R",57.0,62.0,18.0,341
68,"Parahippocampal Gyrus, posterior division L",32.0,45.0,28.0,350
69,"Parahippocampal Gyrus, posterior division R",58.0,45.0,28.0,351
70,Lingual Gyrus L,41.0,22.0,33.0,360
71,Lingual Gyrus R,49.0,22.0,33.0,361
72,"Temporal Fusiform Cortex, anterior division L",28.0,61.0,15.0,370
73,"Temporal Fusiform Cortex, anterior division R",62.0,61.0,15.0,371
74,"Temporal Fusiform Cortex, posterior division L",26.0,47.0,24.0,380
75,"Temporal Fusiform Cortex, posterior division R",64.0,47.0,24.0,381
76,Temporal Occipital Fusiform Cortex L,28.0,37.0,29.0,390
77,Temporal Occipital Fusiform Cortex R,62.0,37.0,29.0,391
78,Occipital Fusiform Gyrus L,33.0,23.0,30.0,400
79,Occipital Fusiform Gyrus R,57.0,23.0,30.0,401
80,Frontal Operculum Cortex L,24.0,74.0,37.0,410
81,Frontal Operculum Cortex R,66.0,74.0,37.0,411
82,Central Opercular Cortex L,19.0,61.0,40.0,420
83,Central Opercular Cortex R,71.0,61.0,40.0,421
84,Parietal Operculum Cortex L,17.0,50.0,47.0,430
85,Parietal Operculum Cortex R,73.0,50.0,47.0,431
86,Planum Polare L,20.0,60.0,36.0,440
87,Planum Polare R,70.0,60.0,36.0,441
88,Heschl's Gyrus (includes H1 and H2) L,23.0,52.0,39.0,450
89,Heschl's Gyrus (includes H1 and H2) R,67.0,52.0,39.0,451
90,Planum Temporale L,16.0,53.0,40.0,460
91,Planum Temporale R,74.0,53.0,40.0,461
92,Supracalcarine Cortex L,44.0,21.0,42.0,470
93,Supracalcarine Cortex R,46.0,21.0,42.0,471
94,Occipital Pole L,37.0,15.0,34.0,480
95,Occipital Pole R,53.0,15.0,34.0,481
