,x,y,z,idx
0,23.0,91.0,45.333332,10
1,24.0,91.0,45.333332,10
2,25.0,91.0,45.333332,10
3,26.0,91.0,45.333332,10
4,27.0,91.0,45.333332,10
5,28.0,91.0,45.333332,10
6,29.0,91.0,45.333332,10
7,30.0,91.0,45.333332,10
8,31.0,91.0,45.333332,10
9,32.0,91.0,45.333332,10
10,33.0,91.0,45.333332,10
11,34.0,91.0,45.333332,10
12,35.0,91.0,45.333332,10
13,36.0,91.0,45.333332,10
14,37.0,91.0,45.333332,10
15,23.0,92.0,45.333332,10
16,24.0,92.0,45.333332,10
17,25.0,92.0,45.333332,10
18,26.0,92.0,45.333332,10
19,27.0,92.0,45.333332,10
20,28.0,92.0,45.333332,10
21,29.0,92.0,45.333332,10
22,30.0,92.0,45.333332,10
23,31.0,92.0,45.333332,10
24,32.0,92.0,45.333332,10
25,33.0,92.0,45.333332,10
26,34.0,92.0,45.333332,10
27,35.0,92.0,45.333332,10
28,36.0,92.0,45.333332,10
29,37.0,92.0,45.333332,10
30,38.0,92.0,45.333332,10
31,39.0,92.0,45.333332,10
32,40.0,92.0,45.333332,10
33,41.0,92.0,45.333332,10
34,42.0,92.0,45.333332,10
35,43.0,92.0,45.333332,10
36,44.0,92.0,45.333332,10
37,45.0,92.0,45.333332,10
38,46.0,92.0,45.333332,10
39,47.0,92.0,45.333332,10
40,48.0,92.0,45.333332,10
41,49.0,92.0,45.333332,10
42,50.0,92.0,45.333332,10
43,51.0,92.0,45.333332,10
44,24.0,93.0,45.333332,10
45,25.0,93.0,45.333332,10
46,26.0,93.0,45.333332,10
47,27.0,93.0,45.333332,10
48,28.0,93.0,45.333332,10
49,29.0,93.0,45.333332,10
50,30.0,93.0,45.333332,10
51,31.0,93.0,45.333332,10
52,32.0,93.0,45.333332,10
53,33.0,93.0,45.333332,10
54,34.0,93.0,45.333332,10
55,35.0,93.0,45.333332,10
56,36.0,93.0,45.333332,10
57,37.0,93.0,45.333332,10
58,38.0,93.0,45.333332,10
59,39.0,93.0,45.333332,10
60,40.0,93.0,45.333332,10
61,41.0,93.0,45.333332,10
62,42.0,93.0,45.333332,10
63,43.0,93.0,45.333332,10
64,44.0,93.0,45.333332,10
65,45.0,93.0,45.333332,10
66,46.0,93.0,45.333332,10
67,47.0,93.0,45.333332,10
68,48.0,93.0,45.333332,10
69,49.0,93.0,45.333332,10
70,50.0,93.0,45.333332,10
71,51.0,93.0,45.333332,10
72,24.0,94.0,45.333332,10
73,25.0,94.0,45.333332,10
74,26.0,94.0,45.333332,10
75,27.0,94.0,45.333332,10
76,28.0,94.0,45.333332,10
77,29.0,94.0,45.333332,10
78,30.0,94.0,45.333332,10
79,31.0,94.0,45.333332,10
80,32.0,94.0,45.333332,10
81,33.0,94.0,45.333332,10
82,34.0,94.0,45.333332,10
83,35.0,94.0,45.333332,10
84,36.0,94.0,45.333332,10
85,37.0,94.0,45.333332,10
86,38.0,94.0,45.333332,10
87,39.0,94.0,45.333332,10
88,40.0,94.0,45.333332,10
89,41.0,94.0,45.333332,10
90,42.0,94.0,45.333332,10
91,43.0,94.0,45.333332,10
92,44.0,94.0,45.333332,10
93,45.0,94.0,45.333332,10
94,46.0,94.0,45.333332,10
95,47.0,94.0,45.333332,10
96,48.0,94.0,45.333332,10
97,49.0,94.0,45.333332,10
98,50.0,94.0,45.333332,10
99,26.0,95.0,45.333332,10
100,27.0,95.0,45.333332,10
101,28.0,95.0,45.333332,10
102,29.0,95.0,45.333332,10
103,30.0,95.0,45.333332,10
104,31.0,95.0,45.333332,10
105,32.0,95.0,45.333332,10
106,33.0,95.0,45.333332,10
107,34.0,95.0,45.333332,10
108,35.0,95.0,45.333332,10
109,36.0,95.0,45.333332,10
110,37.0,95.0,45.333332,10
111,38.0,95.0,45.333332,10
112,39.0,95.0,45.333332,10
113,40.0,95.0,45.333332,10
114,41.0,95.0,45.333332,10
115,42.0,95.0,45.333332,10
116,43.0,95.0,45.333332,10
117,44.0,95.0,45.333332,10
118,45.0,95.0,45.333332,10
119,46.0,95.0,45.333332,10
120,47.0,95.0,45.333332,10
121,48.0,95.0,45.333332,10
122,27.0,96.0,45.333332,10
123,28.0,96.0,45.333332,10
124,29.0,96.0,45.333332,10
125,30.0,96.0,45.333332,10
126,31.0,96.0,45.333332,10
127,32.0,96.0,45.333332,10
128,33.0,96.0,45.333332,10
129,34.0,96.0,45.333332,10
130,35.0,96.0,45.333332,10
131,36.0,96.0,45.333332,10
132,37.0,96.0,45.333332,10
133,38.0,96.0,45.333332,10
134,39.0,96.0,45.333332,10
135,40.0,96.0,45.333332,10
136,41.0,96.0,45.333332,10
137,42.0,96.0,45.333332,10
138,43.0,96.0,45.333332,10
139,44.0,96.0,45.333332,10
140,45.0,96.0,45.333332,10
141,46.0,96.0,45.333332,10
142,29.0,97.0,45.333332,10
143,30.0,97.0,45.333332,10
144,31.0,97.0,45.333332,10
145,32.0,97.0,45.333332,10
146,33.0,97.0,45.333332,10
147,34.0,97.0,45.333332,10
148,35.0,97.0,45.333332,10
149,36.0,97.0,45.333332,10
150,37.0,97.0,45.333332,10
151,38.0,97.0,45.333332,10
152,39.0,97.0,45.333332,10
153,40.0,97.0,45.333332,10
154,41.0,97.0,45.333332,10
155,42.0,97.0,45.333332,10
156,43.0,97.0,45.333332,10
157,31.0,98.0,45.333332,10
158,32.0,98.0,45.333332,10
159,33.0,98.0,45.333332,10
160,34.0,98.0,45.333332,10
161,35.0,98.0,45.333332,10
162,36.0,98.0,45.333332,10
163,37.0,98.0,45.333332,10
164,38.0,98.0,45.333332,10
165,39.0,98.0,45.333332,10
166,40.0,98.0,45.333332,10
167,62.0,85.0,46.333332,10
168,61.0,86.0,46.333332,10
169,60.0,87.0,46.333332,10
170,59.0,88.0,46.333332,10
171,60.0,88.0,46.333332,10
172,58.0,89.0,46.333332,10
173,23.0,90.333336,46.0,10
174,23.0,90.0,46.333332,10
175,24.0,90.333336,46.0,10
176,24.0,90.0,46.333332,10
177,25.0,90.333336,46.0,10
178,25.0,90.0,46.333332,10
179,26.0,90.333336,46.0,10
180,27.0,90.333336,46.0,10
181,28.0,90.333336,46.0,10
182,29.0,90.333336,46.0,10
183,30.0,90.333336,46.0,10
184,31.0,90.333336,46.0,10
185,32.0,90.333336,46.0,10
186,33.0,90.333336,46.0,10
187,34.0,90.333336,46.0,10
188,35.0,90.333336,46.0,10
189,36.0,90.333336,46.0,10
190,37.0,90.333336,46.0,10
191,22.333334,91.0,46.0,10
192,22.0,91.0,46.333332,10
193,37.666668,91.0,46.0,10
194,38.0,91.333336,46.0,10
195,38.0,91.0,46.333332,10
196,39.0,91.333336,46.0,10
197,40.0,91.333336,46.0,10
198,41.0,91.333336,46.0,10
199,42.0,91.333336,46.0,10
200,43.0,91.333336,46.0,10
201,43.0,91.0,46.333332,10
202,44.0,91.333336,46.0,10
203,44.0,91.0,46.333332,10
204,45.0,91.333336,46.0,10
205,46.0,91.333336,46.0,10
206,47.0,91.333336,46.0,10
207,48.0,91.333336,46.0,10
208,49.0,91.333336,46.0,10
209,50.0,91.333336,46.0,10
210,51.0,91.333336,46.0,10
211,55.0,91.0,46.333332,10
212,56.0,91.0,46.333332,10
213,22.333334,92.0,46.0,10
214,23.0,92.666664,46.0,10
215,51.666668,92.0,46.0,10
216,52.0,92.0,46.333332,10
217,53.0,92.0,46.333332,10
218,54.0,92.0,46.333332,10
219,23.333334,93.0,46.0,10
220,23.0,93.0,46.333332,10
221,51.666668,93.0,46.0,10
222,51.0,93.666664,46.0,10
223,52.0,93.0,46.333332,10
224,53.0,93.0,46.333332,10
225,23.333334,94.0,46.0,10
226,24.0,94.666664,46.0,10
227,25.0,94.666664,46.0,10
228,49.0,94.666664,46.0,10
229,50.666668,94.0,46.0,10
230,50.0,94.666664,46.0,10
231,51.0,94.0,46.333332,10
232,52.0,94.0,46.333332,10
233,25.333334,95.0,46.0,10
234,25.0,95.0,46.333332,10
235,26.0,95.666664,46.0,10
236,47.0,95.666664,46.0,10
237,48.666668,95.0,46.0,10
238,48.0,95.666664,46.0,10
239,49.0,95.0,46.333332,10
240,50.0,95.0,46.333332,10
241,51.0,95.0,46.333332,10
242,26.333334,96.0,46.0,10
243,26.0,96.0,46.333332,10
244,27.0,96.666664,46.0,10
245,28.0,96.666664,46.0,10
246,44.0,96.666664,46.0,10
247,45.0,96.666664,46.0,10
248,46.666668,96.0,46.0,10
249,46.0,96.666664,46.0,10
250,47.0,96.0,46.333332,10
251,48.0,96.0,46.333332,10
252,49.0,96.0,46.333332,10
253,28.333334,97.0,46.0,10
254,28.0,97.0,46.333332,10
255,29.0,97.666664,46.0,10
256,30.0,97.666664,46.0,10
257,41.0,97.666664,46.0,10
258,42.0,97.666664,46.0,10
259,43.666668,97.0,46.0,10
260,43.0,97.666664,46.0,10
261,44.0,97.0,46.333332,10
262,45.0,97.0,46.333332,10
263,46.0,97.0,46.333332,10
264,47.0,97.0,46.333332,10
265,30.333334,98.0,46.0,10
266,30.0,98.0,46.333332,10
267,31.0,98.666664,46.0,10
268,32.0,98.666664,46.0,10
269,33.0,98.666664,46.0,10
270,34.0,98.666664,46.0,10
271,35.0,98.666664,46.0,10
272,36.0,98.666664,46.0,10
273,37.0,98.666664,46.0,10
274,38.0,98.666664,46.0,10
275,39.0,98.666664,46.0,10
276,40.666668,98.0,46.0,10
277,40.0,98.666664,46.0,10
278,41.0,98.0,46.333332,10
279,42.0,98.0,46.333332,10
280,43.0,98.0,46.333332,10
281,44.0,98.0,46.333332,10
282,33.0,99.0,46.333332,10
283,34.0,99.0,46.333332,10
284,35.0,99.0,46.333332,10
285,36.0,99.0,46.333332,10
286,37.0,99.0,46.333332,10
287,38.0,99.0,46.333332,10
288,39.0,99.0,46.333332,10
289,40.0,99.0,46.333332,10
290,41.0,99.0,46.333332,10
291,63.0,83.0,47.333332,10
292,61.0,84.0,47.333332,10
293,62.0,84.333336,47.0,10
294,62.0,84.0,47.333332,10
295,63.0,84.0,47.333332,10
296,60.0,85.0,47.333332,10
297,61.333332,85.0,47.0,10
298,61.0,85.333336,47.0,10
299,61.0,85.0,47.333332,10
300,62.666668,85.0,47.0,10
301,62.0,85.666664,47.0,10
302,59.0,86.0,47.333332,10
303,60.333332,86.0,47.0,10
304,60.0,86.333336,47.0,10
305,60.0,86.0,47.333332,10
306,61.666668,86.0,47.0,10
307,61.0,86.666664,47.0,10
308,62.0,86.0,47.333332,10
309,22.0,87.0,47.333332,10
310,58.0,87.0,47.333332,10
311,59.333332,87.0,47.0,10
312,59.0,87.333336,47.0,10
313,59.0,87.0,47.333332,10
314,60.666668,87.0,47.0,10
315,61.0,87.0,47.333332,10
316,22.0,88.0,47.333332,10
317,23.0,88.0,47.333332,10
318,56.0,88.0,47.333332,10
319,57.0,88.0,47.333332,10
320,58.333332,88.0,47.0,10
321,58.0,88.333336,47.0,10
322,58.0,88.0,47.333332,10
323,59.0,88.666664,47.0,10
324,60.666668,88.0,47.0,10
325,60.0,88.666664,47.0,10
326,22.0,89.0,47.333332,10
327,23.0,89.333336,47.0,10
328,23.0,89.0,47.333332,10
329,24.0,89.333336,47.0,10
330,24.0,89.0,47.333332,10
331,25.0,89.333336,47.0,10
332,56.0,89.0,47.333332,10
333,57.333332,89.0,47.0,10
334,57.0,89.0,47.333332,10
335,58.666668,89.0,47.0,10
336,58.0,89.666664,47.0,10
337,59.0,89.0,47.333332,10
338,22.333334,90.0,47.0,10
339,22.0,90.333336,47.0,10
340,22.0,90.0,47.333332,10
341,25.666666,90.0,47.0,10
342,26.0,90.333336,47.0,10
343,26.0,90.0,47.333332,10
344,27.0,90.333336,47.0,10
345,28.0,90.333336,47.0,10
346,29.0,90.333336,47.0,10
347,30.0,90.333336,47.0,10
348,31.0,90.333336,47.0,10
349,32.0,90.333336,47.0,10
350,33.0,90.333336,47.0,10
351,34.0,90.333336,47.0,10
352,35.0,90.333336,47.0,10
353,36.0,90.333336,47.0,10
354,37.0,90.333336,47.0,10
355,38.0,90.333336,47.0,10
356,43.0,90.333336,47.0,10
357,44.0,90.333336,47.0,10
358,54.0,90.0,47.333332,10
359,55.0,90.333336,47.0,10
360,55.0,90.0,47.333332,10
361,56.0,90.333336,47.0,10
362,56.0,90.0,47.333332,10
363,57.0,90.0,47.333332,10
364,58.0,90.0,47.333332,10
365,21.333334,91.0,47.0,10
366,22.0,91.666664,47.0,10
367,38.666668,91.0,47.0,10
